foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q20177497,Derek Thomas,Q9626,Conservative Party (UK),25365,Q30173038,General election 2019,1
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),21085,Q30173038,General election 2019,2
Q76363246,,Alana Bates,Q9630,Labour Party (UK),3553,Q30173038,General election 2019,3
Q75975127,,Ian Flindall,Q9669,Green Party of England and Wales,964,Q30173038,General election 2019,4
Q76131187,,Robert Smith,Q3360801,"Liberal Party (UK, 1989)",314,Q30173038,General election 2019,5
Q75996303,,John Harris,Q98601401,Common People,132,Q30173038,General election 2019,6
,Q20177497,Derek Thomas,Q9626,Conservative Party (UK),22120,Q25052149,General election 2017,1
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),21808,Q25052149,General election 2017,2
,,Christopher Drew,Q9630,Labour Party (UK),7298,Q25052149,General election 2017,3
,Q20177497,Derek Thomas,Q9626,Conservative Party (UK),18491,Q3586935,General election 2015,1
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),16022,Q3586935,General election 2015,2
,,Graham Calderwood,Q10647,UK Independence Party,5720,Q3586935,General election 2015,3
,,Cornelius Olivier,Q9630,Labour Party (UK),4510,Q3586935,General election 2015,4
,,Tim Andrewes,Q9669,Green Party of England and Wales,3051,Q3586935,General election 2015,5
,,Rob Simmons,Q161957,Mebyon Kernow,518,Q3586935,General election 2015,6
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),19619,Q215622,General election 2010,1
,Q20177497,Derek Thomas,Q9626,Conservative Party (UK),17900,Q215622,General election 2010,2
,,Philippa Latimer,Q9630,Labour Party (UK),3751,Q215622,General election 2010,3
,,Michael Faulkner,Q10647,UK Independence Party,2560,Q215622,General election 2010,4
,,Tim Andrewes,Q9669,Green Party of England and Wales,1308,Q215622,General election 2010,5
,,Johnathan Rogers,Q39937470,Cornish Democrats,396,Q215622,General election 2010,6
,,Simon Reed,Q161957,Mebyon Kernow,387,Q215622,General election 2010,7
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),25577,Q428598,General election 2005,1
,,Christian Mitchell,Q9626,Conservative Party (UK),13968,Q428598,General election 2005,2
,,Michael Dooley,Q9630,Labour Party (UK),6583,Q428598,General election 2005,3
,,Michael Faulkner,Q10647,UK Independence Party,2551,Q428598,General election 2005,4
,,Katrina Slack,Q9669,Green Party of England and Wales,1738,Q428598,General election 2005,5
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),25413,Q590740,General election 2001,1
,,Joanna Richardson,Q9626,Conservative Party (UK),15360,Q590740,General election 2001,2
,,William Morris,Q9630,Labour Party (UK),6567,Q590740,General election 2001,3
,,Michael Faulkner,Q10647,UK Independence Party,1926,Q590740,General election 2001,4
Q391275,Q391275,Andrew George,Q9624,Liberal Democrats (UK),23966,Q918503,General election 1997,1
,,William Rogers,Q9626,Conservative Party (UK),16796,Q918503,General election 1997,2
,,Christopher Fegan,Q9630,Labour Party (UK),8184,Q918503,General election 1997,3
,,Michael Faulkner,Q278315,Referendum Party,3714,Q918503,General election 1997,4
,,Patricia Garnier,Q10647,UK Independence Party,567,Q918503,General election 1997,5
,,Frederick Stephens,Q3360801,"Liberal Party (UK, 1989)",425,Q918503,General election 1997,6
,,Kevin Lippiat,Q327591,Independent politician,178,Q918503,General election 1997,7
,,William Hitchins,Q327591,Independent politician,71,Q918503,General election 1997,8
,Q5234746,David Harris,Q9626,Conservative Party (UK),24528,Q543609,General election 1992,1
Q391275,,Andrew George,Q9624,Liberal Democrats (UK),22883,Q543609,General election 1992,2
,,Stephen Warren,Q9630,Labour Party (UK),9144,Q543609,General election 1992,3
,,Graham Stephens,Q3360801,"Liberal Party (UK, 1989)",577,Q543609,General election 1992,4
,Q5234746,David Harris,Q9626,Conservative Party (UK),25174,Q918472,General election 1987,1
,,Hugh Carter,Q40052,Social Democratic Party (UK),17619,Q918472,General election 1987,2
,,Ian Hope,Q9630,Labour Party (UK),9275,Q918472,General election 1987,3
,Q5234746,David Harris,Q9626,Conservative Party (UK),24297,Q918466,General election 1983,1
,,Hugh Carter,Q40052,Social Democratic Party (UK),16438,Q918466,General election 1983,2
,,Mary Crowley,Q9630,Labour Party (UK),5310,Q918466,General election 1983,3
,,Pedyr Prior,Q161957,Mebyon Kernow,569,Q918466,General election 1983,4
,,H. Hoptrough,Q15980875,Ecology Party (UK),439,Q918466,General election 1983,5
,Q333406,John Nott,Q9626,Conservative Party (UK),22352,Q918450,General election 1979,1
